stn,X,Y,Elev,Lon,Lat
1001,688957,4293882,1992,-108.8248746,38.77343811
1002,688929,4293897,1992,-108.8251926,38.77357918
1003,688891,4293911,1993,-108.8256259,38.77371339
1004,688858,4293929,1994,-108.8260006,38.77388255
1005,688814,4293947,1994,-108.8265018,38.77405406
1006,688776,4293962,1996,-108.8269348,38.77419727
1007,688742,4293976,1998,-108.8273221,38.77433062
1008,688699,4293995,1999,-108.8278116,38.77451092
1009,688656,4294008,1999,-108.8283027,38.77463718
1010,688621,4294020,2000,-108.8287021,38.77475273
1011,688588,4294032,1999,-108.8290784,38.77486785
1012,688549,4294045,1999,-108.8295235,38.77499325
1013,688514,4294057,1999,-108.8299229,38.7751088
1014,688472,4294069,1999,-108.8304027,38.77522584
1015,688434,4294080,1998,-108.8308369,38.77533301
1016,688392,4294092,1996,-108.8313168,38.77545004
1017,688344,4294109,1994,-108.8318643,38.77561338
1018,688310,4294113,1992,-108.8322544,38.77565666
1019,688273,4294126,1992,-108.8326765,38.77578163
1020,688233,4294136,1991,-108.8331339,38.77588022
1021,688197,4294145,1989,-108.8335456,38.77596895
1022,688152,4294156,1987,-108.8340603,38.7760776
1023,688120,4294166,1985,-108.8344257,38.77617448
1024,688074,4294177,1982,-108.8349519,38.77628335
1025,688032,4294190,1980,-108.8354315,38.77640937
1026,687998,4294198,1980,-108.8358204,38.77648866
1027,687952,4294213,1981,-108.8363456,38.77663354
1028,687917,4294220,1979,-108.8367463,38.77670404
1029,687874,4294234,1975,-108.8372372,38.77683927
1030,687832,4294243,1973,-108.8377179,38.77692926
1031,687786,4294263,1972,-108.8382416,38.77711916
1032,687757,4294266,1973,-108.8385744,38.77715235
1033,687718,4294275,1972,-108.8390207,38.7772417
1034,687682,4294284,1970,-108.8394324,38.77733041
1035,687632,4294301,1970,-108.840003,38.77749413
1036,687603,4294307,1969,-108.840335,38.77755434
1037,687555,4294320,1970,-108.8408836,38.77768161
1038,687520,4294328,1970,-108.8412841,38.7777611
1039,687480,4294341,1969,-108.8417407,38.77788667
1040,687442,4294350,1968,-108.8421755,38.77797579
1041,687402,4294360,1969,-108.8426329,38.77807434
1042,687363,4294370,1971,-108.8430789,38.77817268
1043,687323,4294381,1971,-108.8435361,38.77828024
1044,687288,4294390,1971,-108.8439363,38.77836872
1045,687253,4294406,1972,-108.8443346,38.77852023
1046,687210,4294412,1974,-108.8448277,38.77858339
1047,687174,4294428,1972,-108.8452375,38.77873512
1048,687124,4294436,1969,-108.8458106,38.77881777
1049,687096,4294443,1968,-108.8461308,38.77888675
1050,687044,4294456,1966,-108.8467255,38.77901485
1051,687010,4294476,1967,-108.8471112,38.77920216
1052,686977,4294476,1967,-108.8474909,38.77920916
1053,686919,4294497,1967,-108.8481525,38.77941056
1054,686891,4294498,1965,-108.8484743,38.7794255
1055,686857,4294513,1964,-108.8488614,38.77956779
1056,686812,4294520,1964,-108.8493772,38.77964036
1057,686779,4294530,1961,-108.8497542,38.7797374
1058,686730,4294542,1957,-108.8503147,38.77985584
1059,686703,4294549,1955,-108.8506234,38.77992459
1060,686651,4294568,1955,-108.8512165,38.7801067
1061,686612,4294580,1954,-108.851662,38.78022302
2062,686574,4294592,1953,-108.8520959,38.78033912
2063,686531,4294600,1951,-108.8525885,38.78042026
2064,686493,4294609,1953,-108.8530232,38.78050934
2065,686457,4294616,1953,-108.8534355,38.78057999
2066,686412,4294618,1952,-108.8539527,38.78060752
2067,686374,4294624,1953,-108.8543882,38.78066958
2068,686334,4294619,1954,-108.8548498,38.780633
2069,686294,4294622,1953,-108.8553092,38.78066847
2070,686256,4294617,1953,-108.8557477,38.78063147
2071,686212,4294623,1955,-108.8562523,38.78069479
2072,686171,4294619,1954,-108.8567251,38.78066743
2073,686133,4294607,1952,-108.8571655,38.78056738
2074,686090,4294605,1949,-108.8576608,38.78055845
2075,686057,4294599,1947,-108.858042,38.78051138
2076,686008,4294595,1942,-108.8586068,38.78048569
2077,685981,4294593,1939,-108.858918,38.78047337
2078,685929,4294592,1935,-108.8595165,38.78047533
2079,685894,4294576,1934,-108.8599235,38.78033862
2080,685858,4294570,1933,-108.8603393,38.78029218
2081,685813,4294561,1931,-108.8608595,38.78022061
2082,685763,4294570,1926,-108.8614323,38.78031219
2083,685732,4294565,1922,-108.8617903,38.7802737
2084,685682,4294558,1922,-108.8623674,38.78022119
2085,685641,4294544,1925,-108.8628429,38.78010374
2086,685609,4294539,1924,-108.8632124,38.78006545
2087,685564,4294532,1922,-108.863732,38.78001188
2088,685531,4294530,1921,-108.8641122,38.78000081
2089,685479,4294528,1922,-108.864711,38.77999374
2090,685447,4294518,1921,-108.8650818,38.77991041
2091,685413,4294515,1918,-108.8654738,38.77989055
2092,685364,4294507,1913,-108.8660397,38.7798288
2093,685324,4294494,1914,-108.8665033,38.77972014
2094,685292,4294473,1913,-108.8668771,38.77953775
2095,685267,4294465,1913,-108.8671669,38.77947095
2096,685210,4294471,1916,-108.8678211,38.77953696
2097,685176,4294445,1913,-108.8682192,38.77930996
2098,685132,4294440,1912,-108.8687267,38.77927417
2099,685089,4294427,1910,-108.8692249,38.77916612
2100,685051,4294422,1910,-108.8696635,38.77912907
2101,685011,4294412,1911,-108.8701263,38.7790474
2102,684971,4294403,1912,-108.8705889,38.77897474
2103,684931,4294386,1911,-108.8710537,38.77883004
2104,684890,4294386,1911,-108.8715254,38.77883863
2105,684849,4294384,1912,-108.8719976,38.77882922
2106,684805,4294384,1910,-108.8725038,38.77883844
2107,684767,4294386,1909,-108.8729405,38.77886441
2108,684726,4294385,1909,-108.8734124,38.77886399
2109,684685,4294385,1911,-108.8738841,38.77887258
2110,684654,4294384,1914,-108.874241,38.77887006
2111,684601,4294382,1917,-108.8748513,38.77886315
2112,684562,4294383,1916,-108.8752997,38.77888031
2113,684520,4294384,1915,-108.8757827,38.77889811
2114,684479,4294380,1914,-108.8762554,38.77887066
2115,684440,4294385,1915,-108.8767028,38.77892385
2116,684391,4294390,1917,-108.8772652,38.77897912
2117,684324,4294389,1912,-108.8780363,38.77898412
2118,684281,4294389,1906,-108.878531,38.7789931
2119,684246,4294389,1905,-108.8789336,38.77900042
2120,684216,4294390,1908,-108.8792785,38.77901569
2121,684179,4294392,1912,-108.8797037,38.77904143